base	variant1	variant2	freq1	freq2	log_odds	derivational	nsyl	type	lemma_freq_corrected	corpus_size	lemma
fejeződik	fejeződök	fejeződöm	5	1	1.0986122886681098	NA	3	corpus	91178	8570080167	fejeződik
fejlődik	fejlődök	fejlődöm	2348	1503	0.4458614801491277	NA	2	corpus	556362	8570080167	fejlődik
fekszik	fekszek	fekszem	1941	16705	-2.1520495664645813	szik	1	corpus	604506	8570080167	feksik
feküdik	feküdök	feküdöm	1	10	-1.7047480922384253	NA	2	corpus	604506	8570080167	feküdik
feküszik	feküszök	feküszöm	1	15	-2.0794415416798357	szik	2	corpus	604506	8570080167	feküsik
feldobódik	feldobódok	feldobódom	28	20	0.322773392263051	NA	3	corpus	1260	8570080167	feldobódik
feledkezik	feledkezek	feledkezem	245	317	-0.25671984684781396	zik	3	corpus	122115	8570080167	feledkezik
felejtkezik	felejtkezek	felejtkezem	32	64	-0.6778797084291569	zik	3	corpus	9049	8570080167	felejtkezik
fellengzősködik	fellengzősködök	fellengzősködöm	1	2	-0.4054651081081645	NA	4	corpus	56	8570080167	fellengzőšködik
felpaprikázódik	felpaprikázódok	felpaprikázódom	1	3	-0.6931471805599453	NA	5	corpus	197	8570080167	felpaprikázódik
feltűnősködik	feltűnősködök	feltűnősködöm	2	4	-0.5108256237659907	NA	4	corpus	597	8570080167	feltűnőšködik
femlik	femlek	femlem	25	4	1.6486586255873816	-lik	1	nonword	NA	NA	femlik
fertőződik	fertőződök	fertőződöm	3	7	-0.6931471805599453	NA	3	corpus	16236	8570080167	fertőződik
feténylik	feténylek	feténylem	23	4	1.5686159179138452	-lik	2	nonword	NA	NA	fetéṉlik
fiatalodik	fiatalodok	fiatalodom	57	96	-0.5142679679569635	NA	4	corpus	6846	8570080167	fiatalodik
fibamlik	fibamlok	fibamlom	26	3	1.9095425048844383	-lik	2	nonword	NA	NA	fibamlik
figlik	figlok	figlom	20	9	0.7419373447293773	-lik	1	nonword	NA	NA	figlik
filágzik	filágzok	filágzom	7	20	-0.9650808960435872	-zik	2	nonword	NA	NA	filágzik
finomkodik	finomkodok	finomkodom	88	10	2.0907410969337694	NA	3	corpus	5135	8570080167	finomkodik
finomodik	finomodok	finomodom	2	1	0.4054651081081644	NA	3	corpus	7558	8570080167	finomodik
fivénylik	fivénylek	fivénylem	20	9	0.7419373447293773	-lik	2	nonword	NA	NA	fivéṉlik
flagánylik	flagánylok	flagánylom	22	7	1.0560526742493137	-lik	2	nonword	NA	NA	flagáṉlik
flagárzik	flagárzok	flagárzom	12	15	-0.2076393647782445	-zik	2	nonword	NA	NA	flagárzik
flehékszik	flehékszek	flehékszem	10	19	-0.5978370007556204	-szik	2	nonword	NA	NA	flehéksik
flehénylik	flehénylek	flehénylem	23	4	1.5686159179138452	-lik	2	nonword	NA	NA	flehéṉlik
flibekszik	flibekszek	flibekszem	11	18	-0.4595323293784402	-szik	2	nonword	NA	NA	flibeksik
fligzik	fligzok	fligzom	10	19	-0.5978370007556204	-zik	1	nonword	NA	NA	fligzik
fliraklik	fliraklok	fliraklom	13	13	0	-lik	2	nonword	NA	NA	fliraklik
flitlik	flitlok	flitlom	25	4	1.6486586255873816	-lik	1	nonword	NA	NA	flitlik
floglik	floglok	floglom	18	11	0.4595323293784402	-lik	1	nonword	NA	NA	floglik
